     OM      RW        f0      f1      f2      f3      f4      f5      f6       ~RW     MAG     ~OM  
  (dpt)    (dpt)    (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)   (dpt)     (dpt)   (dpt)   (dpt)
   0.93    0.93 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.04    1.00    0.00
   0.93    0.63 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.02    1.00    0.00
   0.93    0.33 |   -5.00   16.01   20.00   28.57   28.57    4.00    8.85 |    0.01    1.00    0.00
------------------------------------------------------------------
   0.63    3.33 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.54    1.01   -0.00
   0.63    3.03 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.45    1.01   -0.00
   0.63    2.73 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.38    1.01   -0.00
   0.63    2.43 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.31    1.01   -0.00
   0.63    2.13 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.24    1.01   -0.00
   0.63    1.83 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.18    1.01   -0.00
   0.63    1.53 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.13    1.01   -0.00
   0.63    1.23 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.09    1.00   -0.00
   0.63    0.93 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.05    1.00   -0.00
   0.63    0.63 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.03    1.00   -0.00
   0.63    0.33 |   -5.00   15.75   20.00   28.57   28.57    4.00    9.15 |    0.01    0.99   -0.00
------------------------------------------------------------------
   0.33    3.33 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.59    1.02   -0.00
   0.33    3.03 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.50    1.02   -0.00
   0.33    2.73 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.42    1.02   -0.00
   0.33    2.43 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.35    1.02   -0.00
   0.33    2.13 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.28    1.01   -0.00
   0.33    1.83 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.21    1.01   -0.00
   0.33    1.53 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.16    1.01   -0.00
   0.33    1.23 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.11    1.01   -0.00
   0.33    0.93 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.07    1.01   -0.00
   0.33    0.63 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.03    1.00   -0.00
   0.33    0.33 |   -5.00   15.47   20.00   28.57   28.57    4.00    9.45 |    0.01    0.98   -0.00
------------------------------------------------------------------
